Topic,Count,Name,Representation,Representative_Docs,language
-1,7,-1_op_code code_code ns_ns,"['op', 'code code', 'code ns', 'ns', 'ns op', 'code', 'op code', 'op op', 'allocs op', 'op allocs']","['<!-- github-benchmark-action-comment(start): Benchmark Alert --> # :warning: **Performance Alert** :warning: Possible performance regression was detected for benchmark. Benchmark result of this commit is worse than the previous benchmark result exceeding threshold [CODE]. | Benchmark suite | Current: 67a21ebc0a2f2c219c6421628a53517c310450df | Previous: 30dee26ac114cf198fb7215049d907118d3783e9 | Ratio | |-|-|-|-| | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | This comment was automatically generated by [workflow](https://github.com/gofiber/fiber/actions?query=workflow%3ABenchmark) using [github-action-benchmark](https://github.com/marketplace/actions/continuous-benchmark). <!-- github-benchmark-action-comment(end): Benchmark Alert -->', '<!-- github-benchmark-action-comment(start): Benchmark Alert --> # :warning: **Performance Alert** :warning: Possible performance regression was detected for benchmark. Benchmark result of this commit is worse than the previous benchmark result exceeding threshold [CODE]. | Benchmark suite | Current: 8ff31cbe0a75ef95826e67ab86073c95789660d4 | Previous: 23fb15f704a3f888732af3be5866fc4e8d7b806f | Ratio | |-|-|-|-| | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | This comment was automatically generated by [workflow](https://github.com/gofiber/fiber/actions?query=workflow%3ABenchmark) using [github-action-benchmark](https://github.com/marketplace/actions/continuous-benchmark). <!-- github-benchmark-action-comment(end): Benchmark Alert -->', '<!-- github-benchmark-action-comment(start): Benchmark Alert --> # :warning: **Performance Alert** :warning: Possible performance regression was detected for benchmark. Benchmark result of this commit is worse than the previous benchmark result exceeding threshold [CODE]. | Benchmark suite | Current: ed5044d2a2990f15faf860c1935d3acf99b66b7d | Previous: a590cdbcdd82a900a0f905212a4a7572b3b4d159 | Ratio | |-|-|-|-| | [CODE] | [CODE] ns/op 8 B/op 1 allocs/op | [CODE] ns/op 8 B/op 1 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | This comment was automatically generated by [workflow](https://github.com/gofiber/fiber/actions?query=workflow%3ABenchmark) using [github-action-benchmark](https://github.com/marketplace/actions/continuous-benchmark). <!-- github-benchmark-action-comment(end): Benchmark Alert -->']",EO
0,12,0_benchmark_github_alert_comment,"['benchmark', 'github', 'alert', 'comment', 'action', 'alert warning', 'benchmark action', 'actions', 'action comment', 'benchmark alert']","['<!-- github-benchmark-action-comment(start): Benchmark Alert --> # :warning: **Performance Alert** :warning: Possible performance regression was detected for benchmark. Benchmark result of this commit is worse than the previous benchmark result exceeding threshold [CODE]. | Benchmark suite | Current: 653312ec2334bc91e38e91638aab96f34386d13e | Previous: 361d76c37d846859597a4935c69aa8af428f20b2 | Ratio | |-|-|-|-| | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | This comment was automatically generated by [workflow](https://github.com/gofiber/fiber/actions?query=workflow%3ABenchmark) using [github-action-benchmark](https://github.com/marketplace/actions/continuous-benchmark). <!-- github-benchmark-action-comment(end): Benchmark Alert -->', '<!-- github-benchmark-action-comment(start): Benchmark Alert --> # :warning: **Performance Alert** :warning: Possible performance regression was detected for benchmark. Benchmark result of this commit is worse than the previous benchmark result exceeding threshold [CODE]. | Benchmark suite | Current: 6e34870367f12760ae6850874eca38cdee612f58 | Previous: 557095b0947d5c8666bd5b5c829020d51fcad3b6 | Ratio | |-|-|-|-| | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | This comment was automatically generated by [workflow](https://github.com/gofiber/fiber/actions?query=workflow%3ABenchmark) using [github-action-benchmark](https://github.com/marketplace/actions/continuous-benchmark). <!-- github-benchmark-action-comment(end): Benchmark Alert -->', '<!-- github-benchmark-action-comment(start): Benchmark Alert --> # :warning: **Performance Alert** :warning: Possible performance regression was detected for benchmark. Benchmark result of this commit is worse than the previous benchmark result exceeding threshold [CODE]. | Benchmark suite | Current: 5c62330a4328042bcdcec781149f29162e46dff5 | Previous: aa87c11903be3799baa6e13b2d083b260d2cd0d0 | Ratio | |-|-|-|-| | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | This comment was automatically generated by [workflow](https://github.com/gofiber/fiber/actions?query=workflow%3ABenchmark) using [github-action-benchmark](https://github.com/marketplace/actions/continuous-benchmark). <!-- github-benchmark-action-comment(end): Benchmark Alert -->']",EO
1,4,1_op_code_code ns_ns,"['op', 'code', 'code ns', 'ns', 'ns op', 'op code', 'code code', 'allocs', 'allocs op', 'op allocs']","['<!-- github-benchmark-action-comment(start): Benchmark Alert --> # :warning: **Performance Alert** :warning: Possible performance regression was detected for benchmark. Benchmark result of this commit is worse than the previous benchmark result exceeding threshold [CODE]. | Benchmark suite | Current: 61b687519b7dca124092f930a9db912b4d4362e9 | Previous: f9eec854fd52e93cbd08efff77a132d554772080 | Ratio | |-|-|-|-| | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | This comment was automatically generated by [workflow](https://github.com/gofiber/fiber/actions?query=workflow%3ABenchmark) using [github-action-benchmark](https://github.com/marketplace/actions/continuous-benchmark). <!-- github-benchmark-action-comment(end): Benchmark Alert -->', '<!-- github-benchmark-action-comment(start): Benchmark Alert --> # :warning: **Performance Alert** :warning: Possible performance regression was detected for benchmark. Benchmark result of this commit is worse than the previous benchmark result exceeding threshold [CODE]. | Benchmark suite | Current: 37a01b3d752fd4c64197df119ecbb862faa8181d | Previous: 804a2b923e3c98e51e108742ab62637d3a8b2c34 | Ratio | |-|-|-|-| | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | This comment was automatically generated by [workflow](https://github.com/gofiber/fiber/actions?query=workflow%3ABenchmark) using [github-action-benchmark](https://github.com/marketplace/actions/continuous-benchmark). <!-- github-benchmark-action-comment(end): Benchmark Alert -->', '<!-- github-benchmark-action-comment(start): Benchmark Alert --> # :warning: **Performance Alert** :warning: Possible performance regression was detected for benchmark. Benchmark result of this commit is worse than the previous benchmark result exceeding threshold [CODE]. | Benchmark suite | Current: 9516bd26ee173c39e3a55e3b4c1267c28f48ef68 | Previous: 3b2af61152d0dc9bb75bd9451e506274266b638e | Ratio | |-|-|-|-| | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | | [CODE] | [CODE] ns/op 8 B/op 1 allocs/op | [CODE] ns/op 8 B/op 1 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | This comment was automatically generated by [workflow](https://github.com/gofiber/fiber/actions?query=workflow%3ABenchmark) using [github-action-benchmark](https://github.com/marketplace/actions/continuous-benchmark). <!-- github-benchmark-action-comment(end): Benchmark Alert -->']",EO
2,3,2_benchmark_github_alert_comment,"['benchmark', 'github', 'alert', 'comment', 'action', 'actions', 'alert warning', 'action comment', 'benchmark alert', 'benchmark action']","['<!-- github-benchmark-action-comment(start): Benchmark Alert --> # :warning: **Performance Alert** :warning: Possible performance regression was detected for benchmark. Benchmark result of this commit is worse than the previous benchmark result exceeding threshold [CODE]. | Benchmark suite | Current: bc1e66e626870f2a5ed1ab4045bf1a22c9091db9 | Previous: 5dffcb6d848d4bff96d3b0cda79ace0bd9d72a2b | Ratio | |-|-|-|-| | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | This comment was automatically generated by [workflow](https://github.com/gofiber/fiber/actions?query=workflow%3ABenchmark) using [github-action-benchmark](https://github.com/marketplace/actions/continuous-benchmark). <!-- github-benchmark-action-comment(end): Benchmark Alert -->', '<!-- github-benchmark-action-comment(start): Benchmark Alert --> # :warning: **Performance Alert** :warning: Possible performance regression was detected for benchmark. Benchmark result of this commit is worse than the previous benchmark result exceeding threshold [CODE]. | Benchmark suite | Current: 561dc540eb932e3f7b5ae2daa083a75c66a46d0d | Previous: 670fbd5e4553a69c31eccce4535bd53e557b488c | Ratio | |-|-|-|-| | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | This comment was automatically generated by [workflow](https://github.com/gofiber/fiber/actions?query=workflow%3ABenchmark) using [github-action-benchmark](https://github.com/marketplace/actions/continuous-benchmark). <!-- github-benchmark-action-comment(end): Benchmark Alert -->', '<!-- github-benchmark-action-comment(start): Benchmark Alert --> # :warning: **Performance Alert** :warning: Possible performance regression was detected for benchmark. Benchmark result of this commit is worse than the previous benchmark result exceeding threshold [CODE]. | Benchmark suite | Current: d959b799f5786ca9f1ffb9840634dcbc21a56e99 | Previous: 3b2af61152d0dc9bb75bd9451e506274266b638e | Ratio | |-|-|-|-| | [CODE] | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] ns/op 0 B/op 0 allocs/op | [CODE] | | [CODE] | [CODE] ns/op | [CODE] ns/op | [CODE] | This comment was automatically generated by [workflow](https://github.com/gofiber/fiber/actions?query=workflow%3ABenchmark) using [github-action-benchmark](https://github.com/marketplace/actions/continuous-benchmark). <!-- github-benchmark-action-comment(end): Benchmark Alert -->']",EO
